2|3915|5.51828|3.11225,2.10338;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1111 3311 1112 1122 1112 1122 1111
2|3918|5.00431|5.26583,1.3696;|1111 1122 1112 1114 1124 1111 1134 1111 1144 1122 1112 1311 2311 1111 3311 1111
2|4149|5.71408|3.11225,2.17464;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1122 1112 1112 1122 1111 3311 1111
2|4722|5.68837|3.11225,2.16528;|1111 1113 1123 1111 1133 1122 1112 1113 1123 1111 1133 1311 2311 1111 3311 1111
2|4747|5.62161|3.11225,2.14099;|1111 1113 1123 1111 1133 1133 1113 1112 1122 1311 2311 1111 3311 1111 1123 1111
2|4781|3.00346|4.43546,1.10127;|1111 1112 1122 1333 2311 1111 3311 1111 1313 1133 1113 1111 1123 1111 1323 1111
2|4794|5.12683|4.26583,1.3696;|1111 1112 1122 1114 1124 1111 1134 1111 1144 1122 1112 1311 2311 1111 3311 1111
2|4981|5.94255|4.46399,1.43362;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1133 1113 1112 1122 1111 1123 1111
2|4984|5.39051|4.94187,1.7791;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1311 2311 1111 3312 1111 3322 1111
2|5019|4.03629|5.5385,1.417;|1111 1122 1112 1312 1322 1114 1124 1111 1134 1111 1144 1111 2311 1111 3311 1111
2|5056|4.74026|4.94187,1.99393;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1311 2311 1111 3311 1112 1122 1111
2|5150|6.96782|5.45631,1.33257;|1111 1115 1125 1111 1135 1111 1145 1111 1155 1122 1112 1311 2311 1111 3311 1111
2|5182|5.43747|2.99497,1.98006;|1111 1113 1123 1111 1133 1133 1113 1311 2311 1111 3311 1112 1122 1111 1123 1111
2|5205|5.44994|6.68701,1.04665;|1111 1115 1125 1111 1135 1112 1122 1111 1145 1111 1155 1311 2311 1111 3311 1111
2|5221|5.43285|2.99497,1.97848;|1111 1113 1123 1111 1133 1122 1112 1122 1112 1311 2311 1112 1122 1111 3311 1111
2|5265|4.89359|4.94187,2.0691;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1112 1122 1311 2311 1111 3311 1111
3|949|5.39051|4.94187,1.7791;|1111 1114 1124 1111 1134 1111 1144 1122 1112 1411 2411 1111 3411 1111 4411 1111
7|6|3.06388|4.5421,1.20672;|1111 1112 1122 1313 1323 1311 2311 1111 3311 1111 1333 1112 1122 1111 2311 1111 3311 1111
7|191|5.58881|4.5326,1.78854;4.5326,1.78854;4.55073,1.79375;|1111 1112 1122 1312 1322 1112 1122 1112 1122 1311 2311 1111 3311 1111 2311 1111 3311 1111
7|192|5.22505|4.53224,1.64254;4.53224,1.64254;|1111 1112 1122 1312 1322 1112 1122 1312 1322 1111 2311 1111 3311 1111 2311 1111 3311 1111
7|193|3.83008|5.5326,1.78854;5.5326,1.78854;5.55073,1.79375;|1111 1122 1112 1312 1322 1112 1122 1112 1122 1311 2311 1111 3311 1111 2311 1111 3311 1111
7|210|3.60921|4.30019,2.44343;|1111 1311 2311 1111 3312 1111 3322 1122 1112 1112 1122 1312 1322 1111 2311 1111 3311 1111
7|252|5.22505|4.45812,1.64545;4.46399,1.64304;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1322 2311 1111 3311 1111 1312 1111
7|274|4.21386|5.43496,2.02343;5.45726,2.01417;|1111 1122 1112 1322 2311 1111 3311 1111 1312 1122 1112 1112 1122 1311 2311 1111 3311 1111
7|276|3.55011|5.45816,1.62889;5.46399,1.62628;|1111 1122 1112 1322 2311 1111 3311 1111 1312 1122 1112 1311 2312 1111 2322 1111 3311 1111
7|281|3.86729|5.45776,1.8131;5.45776,1.8131;|1111 1122 1112 1322 2311 1111 3311 1111 1312 1133 1113 1311 2311 1111 3311 1111 1123 1111
7|282|3.55011|5.45816,1.62889;5.46399,1.62628;|1111 1122 1112 1322 2311 1111 3311 1111 1312 1122 1112 1311 2311 1111 3312 1111 3322 1111
7|412|2.52033|5.42274,1.51683;|1111 1122 1112 1333 2311 1111 3311 1111 1313 1122 1112 1311 2311 1111 3311 1111 1323 1111
7|604|3.57845|5.45812,1.64545;5.46399,1.64304;|1111 1122 1112 1322 2311 1111 3311 1111 1312 1122 1112 1312 1322 1111 2311 1111 3311 1111
7|809|3.69599|4.42274,1.51683;|1111 1112 1122 1333 2311 1111 3311 1111 1313 1122 1112 1311 2311 1111 3311 1111 1323 1111
7|1165|5.6426|4.45776,1.8131;4.45776,1.8131;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1133 1113 1311 2311 1111 3311 1111 1123 1111
7|1480|2.0827|5.5421,1.20672;|1111 1122 1112 1313 1323 1311 2311 1111 3311 1111 1333 1112 1122 1111 2311 1111 3311 1111
7|1886|3.55011|5.53219,1.62599;5.53219,1.62599;|1111 1122 1112 1312 1322 1112 1122 1311 2312 1111 2322 1111 3311 1111 2311 1111 3311 1111
7|1892|3.55011|5.53219,1.62599;5.53219,1.62599;|1111 1122 1112 1312 1322 1112 1122 1311 2311 1111 3312 1111 3322 1111 2311 1111 3311 1111
7|1913|3.60921|4.30019,2.44343;|1111 1311 2311 1111 3312 1111 3322 1122 1112 1112 1122 1322 2311 1111 3311 1111 1312 1111
7|2110|5.51874|3.11225,2.10355;|1111 1113 1123 1111 1133 1122 1112 1312 1322 1111 2311 1311 2311 1111 3311 1111 3311 1111
7|2211|7.84117|7.51873,1.37232;|1111 1114 1124 1111 1134 1111 1144 1112 1122 1311 2311 1111 3311 1311 2311 1111 3311 1111
7|2305|3.57845|5.53224,1.64254;5.53224,1.64254;|1111 1122 1112 1312 1322 1112 1122 1322 2311 1111 3311 1111 1312 1111 2311 1111 3311 1111
7|2534|5.51795|3.11225,2.10326;|1111 1113 1123 1111 1133 1122 1112 1312 1322 1111 2311 1111 3311 1311 2311 1111 3311 1111
7|3071|5.49453|3.11225,2.09474;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1111 3311 1311 2312 1111 2322 1111 3311 1111
7|3278|6.14371|4.43496,2.02343;4.45726,2.01417;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1112 1122 1311 2311 1111 3311 1111
7|3279|6.27866|4.46399,1.5333;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1133 1113 1111 1123 1311 2311 1111 3311 1111
7|3373|7.84117|7.51873,1.37232;|1111 1114 1124 1111 1134 1111 1144 1112 1122 1311 2311 1311 2311 1111 3311 1111 3311 1111
